[1156, 1043]	480	0.5	3	1.83e-5	
[10000, 1]	17	0.5	3	1.45e-5	
[1631, 1478]	4833	0.5	1	2.11e-5	
[1956, 1400]	200	0.5	3	2.25e-5	
[10000, 1]	448	0.5	3	1.27e-5	
[1110, 1942]	4161	0.5	2	3.1e-5	
[1106, 1495]	3157	0.5	3	2.4e-5	
[1936, 1684]	9789	0.5	1	4.13e-5	
[10000, 1]	3529	0.5	1	1.56e-5	
[1569, 1773]	40	0.5	2	1.94e-5	
[10000, 1]	1179	0.5	3	1.32e-5	
[1886, 1111]	31	0.5	3	1.9e-5	
[1368, 1753]	4542	0.5	2	2.57e-5	
[10000, 1]	23	0.5	3	1.18e-5	
[10000, 1]	2859	0.5	3	1.0700000000000001e-5	
[10000, 1]	5880	0.5	1	1.3500000000000001e-5	
[1502, 1480]	37	0.5	2	1.8200000000000002e-5	
[10000, 1]	4472	0.5	2	1.52e-5	
[10000, 1]	803	0.5	3	1.23e-5	
[1688, 1140]	587	0.5	2	1.94e-5	
[1748, 1991]	88	0.5	1	1.87e-5	
[1999, 1940]	758	0.5	3	2.3e-5	
[10000, 1]	46	0.5	2	1.1700000000000001e-5	
[10000, 1]	46	0.5	2	1.15e-5	
[10000, 1]	2585	0.5	3	1.4700000000000002e-5	
[10000, 1]	1884	0.5	2	1.39e-5	
[10000, 1]	8619	0.5	1	1.83e-5	
[10000, 1]	727	0.5	1	1.5700000000000002e-5	
[10000, 1]	2411	0.5	1	1.2400000000000002e-5	
[10000, 1]	930	0.5	3	1.27e-5	
[10000, 1]	420	0.5	2	1.25e-5	
[10000, 1]	521	0.5	1	1.18e-5	
[1844, 1377]	1364	0.5	1	4.13e-5	
[10000, 1]	519	0.5	1	1.18e-5	
[1437, 1877]	5811	0.5	1	2.2700000000000003e-5	
[10000, 1]	1700	0.5	3	1.3100000000000002e-5	
[10000, 1]	6481	0.5	1	1.34e-5	
[10000, 1]	30	0.5	3	1.1700000000000001e-5	
[10000, 1]	1594	0.5	2	1.29e-5	
[10000, 1]	5287	0.5	1	1.32e-5	
[1919, 1590]	7468	0.5	1	2.51e-5	
[1894, 1741]	4456	0.5	2	2.46e-5	
[1828, 1324]	2351	0.5	3	2.29e-5	
[10000, 1]	90	0.5	1	1.23e-5	
[10000, 1]	745	0.5	2	1.3300000000000001e-5	
[1752, 1062]	1358	0.5	3	2.08e-5	
[10000, 1]	546	0.5	3	1.69e-5	
[1499, 1678]	24	0.5	3	1.95e-5	
[1609, 1264]	6762	0.5	1	2.3500000000000002e-5	
[1872, 1101]	6969	0.5	1	2.39e-5	
[10000, 1]	4920	0.5	2	1.5e-5	
[1512, 1962]	938	0.5	2	1.95e-5	
[1034, 1762]	4524	0.5	2	2.4100000000000003e-5	
[1937, 1875]	2779	0.5	1	2.1000000000000002e-5	
[10000, 1]	1891	0.5	3	1.4700000000000002e-5	
[1807, 1612]	4768	0.5	2	3.54e-5	
[10000, 1]	27	0.5	2	1.1700000000000001e-5	
[1458, 1424]	93	0.5	1	2.8100000000000002e-5	
[10000, 1]	6449	0.5	1	1.36e-5	
[10000, 1]	1131	0.5	1	1.2e-5	
[10000, 1]	53	0.5	1	1.34e-5	
[1122, 1798]	708	0.5	3	1.97e-5	
[10000, 1]	5029	0.5	1	1.55e-5	
[10000, 1]	2712	0.5	3	1.5300000000000003e-5	
[10000, 1]	2675	0.5	2	1.3700000000000001e-5	
[10000, 1]	683	0.5	3	1.22e-5	
[1752, 1371]	91	0.5	1	1.8900000000000002e-5	
[10000, 1]	31	0.5	2	1.16e-5	
[1845, 1212]	2958	0.5	3	2.5500000000000003e-5	
[10000, 1]	2273	0.5	2	1.43e-5	
[10000, 1]	37	0.5	2	1.15e-5	
[10000, 1]	31	0.5	3	1.15e-5	
[1663, 1946]	6531	0.5	1	2.4e-5	
[10000, 1]	2840	0.5	2	1.4000000000000001e-5	
[10000, 1]	3356	0.5	2	1.43e-5	
[10000, 1]	4005	0.5	2	3.1400000000000004e-5	
[1050, 1778]	5744	0.5	1	2.29e-5	
[10000, 1]	3269	0.5	1	1.3500000000000001e-5	
[10000, 1]	606	0.5	3	1.25e-5	
[1838, 1088]	49	0.5	2	2.0600000000000003e-5	
[1667, 1623]	2216	0.5	1	3.29e-5	
[1985, 1163]	8324	0.5	1	4.16e-5	
[1380, 1150]	9000	0.5	1	3.9200000000000004e-5	
[10000, 1]	4046	0.5	2	1.6100000000000002e-5	
[1114, 1080]	68	0.5	1	0.00010180000000000001	
[1071, 1484]	1145	0.5	3	2.01e-5	
[1237, 1102]	6818	0.5	1	2.11e-5	
[1393, 1377]	16	0.5	3	1.84e-5	
[1018, 1201]	3253	0.5	3	2.39e-5	
[10000, 1]	64	0.5	1	1.18e-5	
[1789, 1346]	3005	0.5	3	2.4e-5	
[10000, 1]	7580	0.5	1	1.41e-5	
[10000, 1]	3107	0.5	3	1.48e-5	
[1538, 1132]	298	0.5	3	1.88e-5	
[10000, 1]	9849	0.5	1	2.1000000000000002e-5	
